event_name,event_period_start,event_period_end,event_place
겁쟁이 빌리 - 안산,2024.08.03.,2024.08.11.,NC백화점 안산고잔점
다정이 병인 양하여,2024.08.02.,2024.08.11.,삼일로창고극장
와따가따 가족극장,2024.08.10.,2024.08.11.,노원어린이극장
그리스 로마 신화 <신들의 왕 제우스> - 고양,2024.08.11.,2024.08.11.,고양어울림누리 어울림극장
어린이 매직 페스티벌 - 거제,2024.08.11.,2024.08.11.,거제시청소년수련관
유다빈밴드 단독 콘서트 'FIND OUT!',2024.08.02.,2024.08.11.,구름아래소극장
산드리아 & 러브바이츠 합동 내한 서울공연,2024.08.11.,2024.08.11.,홍대 롤링홀
2024 박재범 팬미팅 [Jay Park Season 3: Dedicated 2 U],2024.08.10.,2024.08.11.,명화라이브홀
"""피아노랑 놀자"" with Piano emsemblr Quintole",2024.08.11.,2024.08.11.,인춘아트홀
피터 비스펠베이 첼로 리사이틀 - 광주,2024.08.11.,2024.08.11.,광주북구문화센터
"8월, 월간 연주자 피아니스트 홍유진",2024.08.11.,2024.08.11.,갤러리 디 아르테 청담
아이들,2024.08.03.,2024.08.11.,미아리고개 예술극장
나은아 바이올린 독주회,2024.08.11.,2024.08.11.,금호아트홀 연세
긴긴밤 - 남양주,2024.08.10.,2024.08.11.,다산아트홀
조선의 하녀들,2024.08.09.,2024.08.11.,설렘아트홀
유앤나와 함께하는 달빛과 별들의 노래,2024.08.11.,2024.08.11.,거암아트홀
오즈의 마법사,2024.08.08.,2024.08.11.,이화여고 100주년 기념관
햇살 따뜻한 오후에 찾아온 특별한 손님 - 광주,2024.08.10.,2024.08.11.,국립아시아문화전당
첼리스트 홍진호 <진호의 책방> - 익산,2024.08.11.,2024.08.11.,익산예술의전당
2024 The Masterpiece Concert (더 마스터피스 콘서트) - 인천,2024.08.10.,2024.08.11.,인스파이어 아레나
말린 고추와 복숭아향 립스틱,2024.08.02.,2024.08.11.,아르코예술극장 소극장
류가희의 해금 <編 : 엮어가다> - 춘천,2024.08.11.,2024.08.11.,예나아트홀
