k_date,title,place,lat,lon,url_link,start_date,end_date,area,category,dt
20240529 ~ 20241201,문화가 있는 날 청춘마이크 충청권,,,,https://search.naver.com/search.naver?where=nexearch&sm=tab_etc&mra=bk00&pkid=110&os=34262141&qvt=0&query=%EB%AC%B8%ED%99%94%EA%B0%80%20%EC%9E%88%EB%8A%94%20%EB%82%A0%20%EC%B2%AD%EC%B6%98%EB%A7%88%EC%9D%B4%ED%81%AC%20%EC%B6%A9%EC%B2%AD%EA%B6%8C,20240529,20241201,,,
20240423 ~ 20241107,양화진 근대사 뱃길탐방,양화진역사공원과 한강 일대,,,https://search.naver.com/search.naver?where=nexearch&sm=tab_etc&mra=bk00&pkid=110&os=34359944&qvt=0&query=%EC%96%91%ED%99%94%EC%A7%84%20%EA%B7%BC%EB%8C%80%EC%82%AC%20%EB%B1%83%EA%B8%B8%ED%83%90%EB%B0%A9,20240423,20241107,,,
20240406 ~ 20241110,한국민속촌 조선살인수사,한국민속촌,,,https://search.naver.com/search.naver?where=nexearch&sm=tab_etc&mra=bk00&pkid=110&os=31910774&qvt=0&query=%ED%95%9C%EA%B5%AD%EB%AF%BC%EC%86%8D%EC%B4%8C%20%EC%A1%B0%EC%84%A0%EC%82%B4%EC%9D%B8%EC%88%98%EC%82%AC,20240406,20241110,,,
20240406 ~ 20241110,"한국민속촌 살귀옥, A Haunted Prison",한국민속촌,,,https://search.naver.com/search.naver?where=nexearch&sm=tab_etc&mra=bk00&pkid=110&os=31910773&qvt=0&query=%ED%95%9C%EA%B5%AD%EB%AF%BC%EC%86%8D%EC%B4%8C%20%EC%82%B4%EA%B7%80%EC%98%A5%20A%20Haunted%20Prison,20240406,20241110,,,
20240406 ~ 20241110,한국민속촌 야간개장 '달빛을 더하다',한국민속촌,,,https://search.naver.com/search.naver?where=nexearch&sm=tab_etc&mra=bk00&pkid=110&os=9983845&qvt=0&query=%ED%95%9C%EA%B5%AD%EB%AF%BC%EC%86%8D%EC%B4%8C%20%EC%95%BC%EA%B0%84%EA%B0%9C%EC%9E%A5%20%EB%8B%AC%EB%B9%9B%EC%9D%84%20%EB%8D%94%ED%95%98%EB%8B%A4,20240406,20241110,,,
20240325 ~ 20241031,영등포 관광 세일 페스타,,,,https://search.naver.com/search.naver?where=nexearch&sm=tab_etc&mra=bk00&pkid=110&os=26075318&qvt=0&query=%EC%98%81%EB%93%B1%ED%8F%AC%20%EA%B4%80%EA%B4%91%20%EC%84%B8%EC%9D%BC%20%ED%8E%98%EC%8A%A4%ED%83%80,20240325,20241031,,,
20240415 ~ 20241130,한강역사탐방,한강공원 및 인근 문화유산,,,https://search.naver.com/search.naver?where=nexearch&sm=tab_etc&mra=bk00&pkid=110&os=33813974&qvt=0&query=%ED%95%9C%EA%B0%95%EC%97%AD%EC%82%AC%ED%83%90%EB%B0%A9,20240415,20241130,,,
20240402 ~ 20241130,APAP 작품투어,"안양파빌리온(안양예술공원), 평촌지역(중앙공원) 등",,,https://search.naver.com/search.naver?where=nexearch&sm=tab_etc&mra=bk00&pkid=110&os=33872482&qvt=0&query=APAP%20%EC%9E%91%ED%92%88%ED%88%AC%EC%96%B4,20240402,20241130,,,
20240401 ~ 20241130,서울거리공연 구석구석 라이브,"서울도심거리, 관광명소, 공원, 한강명소 등",,,https://search.naver.com/search.naver?where=nexearch&sm=tab_etc&mra=bk00&pkid=110&os=18817721&qvt=0&query=%EC%84%9C%EC%9A%B8%EA%B1%B0%EB%A6%AC%EA%B3%B5%EC%97%B0%20%EA%B5%AC%EC%84%9D%EA%B5%AC%EC%84%9D%20%EB%9D%BC%EC%9D%B4%EB%B8%8C,20240401,20241130,,,
20240501 ~ 20241231,제주민속촌 민속체험축제,제주민속촌 일대,,,https://search.naver.com/search.naver?where=nexearch&sm=tab_etc&mra=bk00&pkid=110&os=33973640&qvt=0&query=%EC%A0%9C%EC%A3%BC%EB%AF%BC%EC%86%8D%EC%B4%8C%20%EB%AF%BC%EC%86%8D%EC%B2%B4%ED%97%98%EC%B6%95%EC%A0%9C,20240501,20241231,,,
